model,dataset,db_id,question_id,complexity,question,ground_truth_sql,generated_sql,gt_exec_success,pred_exec_success_pg,pred_exec_success_sqlite,is_correct,generation_time,cpu_proc_percent,cpu_system_percent,ram_proc_rss_mb,ram_system_percent,gpu_util_percent,gpu_mem_used_mb,gpu_mem_total_mb,gpu_mem_percent,total_runtime_s,peak_ram_rss_mb,peak_cpu_percent_process,peak_gpu_vram_allocated_mb,peak_gpu_vram_reserved_mb,cpu_ram_available,gpu_available
TinyLlama,spider,academic,spider_8252,Easy,return me the homepage of PVLDB .,SELECT homepage FROM journal WHERE name = 'PVLDB';,SELECT homepage FROM `publication` WHERE pid = 1;,True,False,False,False,3.2257,49.1454,62.3,3980.2227,41.4,46.0,2923.875,15360.0,19.0356,2382.6326,5455.43,191.4,3420.94,4546.0,True,True
TinyLlama,spider,activity_1,spider_6723,Easy,How many faculty do we have ?,SELECT count(*) FROM Faculty,SELECT COUNT(*) FROM Faculty;,True,True,True,True,4.8077,37.4565,96.8,3982.7734,41.5,21.0,2923.875,15360.0,19.0356,2382.6326,5455.43,191.4,3420.94,4546.0,True,True
TinyLlama,spider,aircraft,spider_345,Easy,How many aircrafts are there ?,SELECT count(*) FROM Aircraft,SELECT COUNT(*) FROM aircraft;,True,True,True,True,3.738,45.1612,83.8,3982.7734,41.3,42.0,2923.875,15360.0,19.0356,2382.6326,5455.43,191.4,3420.94,4546.0,True,True
TinyLlama,spider,allergy_1,spider_445,Easy,How many allergies are there ?,SELECT count(DISTINCT allergy) FROM Allergy_type,SELECT COUNT(*) FROM Has_Allergy;,True,False,True,False,2.7851,49.4452,54.8,3982.7734,41.3,44.0,2923.875,15360.0,19.0356,2382.6326,5455.43,191.4,3420.94,4546.0,True,True
TinyLlama,spider,apartment_rentals,spider_1223,Easy,How many apartment bookings are there in total ?,SELECT count(*) FROM Apartment_Bookings,"SELECT AVG(guest_count) AS average_guest_count
FROM Apartment_Bookings;",True,False,False,False,2.7965,49.8828,57.5,3982.7734,41.4,40.0,2923.875,15360.0,19.0356,2382.6326,5455.43,191.4,3420.94,4546.0,True,True
TinyLlama,spider,architecture,spider_6953,Easy,How many architects are female ?,SELECT count(*) FROM architect WHERE gender = 'female',SELECT COUNT(*) FROM architect WHERE gender = 'female';,True,True,True,True,0.7628,47.9819,99.4,3982.7734,41.4,31.0,2923.875,15360.0,19.0356,2382.6326,5455.43,191.4,3420.94,4546.0,True,True
TinyLlama,spider,assets_maintenance,spider_3154,Extra Hard,Which assets have 2 parts and have less than 2 fault logs ? List the asset id and detail .,"SELECT T1.asset_id , T1.asset_details FROM Assets AS T1 JOIN Asset_Parts AS T2 ON T1.asset_id = T2.asset_id GROUP BY T1.asset_id HAVING count(*) = 2 INTERSECT SELECT T1.asset_id , T1.asset_details FROM Assets AS T1 JOIN Fault_Log AS T2 ON T1.asset_id = T2.asset_id GROUP BY T1.asset_id HAVING count(*) < 2","SELECT asset_id,
       MIN(fault_log_entry_id) AS min_fault_log_entry_id
FROM Assets
GROUP BY asset_id
HAVING COUNT(DISTINCT fault_log_entry_id) < 2;",True,False,False,False,3.7808,49.3625,68.7,3982.7734,41.5,71.0,3899.875,15360.0,25.3898,2382.6326,5455.43,191.4,3420.94,4546.0,True,True
TinyLlama,spider,baseball_1,spider_3659,Medium,what is the full name and id of the college with the largest number of baseball players ?,"SELECT T1.name_full , T1.college_id FROM college AS T1 JOIN player_college AS T2 ON T1.college_id = T2.college_id GROUP BY T1.college_id ORDER BY count(*) DESC LIMIT 1;","You are an expert Text-to-SQL system.

Rules:
- Use ONLY tables and columns from the schema.
- Output ONLY the SQL query (no explanation, no markdown).

Schema:
CREATE TABLE all_star (
  player_id,
  year,
  game_num,
  game_id,
  team_id,
  league_id,
  gp,
  starting_pos,
foreign key (player_id) references player(player_id)
);",True,False,False,False,3.6023,49.1442,69.7,3982.7891,41.6,56.0,4923.875,15360.0,32.0565,2382.6326,5455.43,191.4,3420.94,4546.0,True,True
TinyLlama,spider,battle_death,spider_9156,Easy,How many ships ended up being ' Captured ' ?,SELECT count(*) FROM ship WHERE disposition_of_ship = 'Captured',"SELECT COUNT(*) AS 'Captured'
FROM death
WHERE killed = 1
AND injured = 0;",True,False,True,False,1.1754,48.6335,83.7,3982.7891,41.6,43.0,4923.875,15360.0,32.0565,2382.6326,5455.43,191.4,3420.94,4546.0,True,True
TinyLlama,spider,behavior_monitoring,spider_3114,Easy,How many assessment notes are there in total ?,SELECT count(*) FROM ASSESSMENT_NOTES,"Explanation:

- The `Assessment_Notes` table contains a foreign key reference to the `Students` table, which references the `student_id` column.
- The `Behaviour_Incident` table",True,False,False,False,3.0038,49.976,53.5,3982.7891,41.6,54.0,4923.875,15360.0,32.0565,2382.6326,5455.43,191.4,3420.94,4546.0,True,True
TinyLlama,spider,bike_1,spider_109,Easy,Give me the dates when the max temperature was higher than 85 .,SELECT date FROM weather WHERE max_temperature_f > 85,"SELECT date, max(temperature_f) AS max_temperature_f
FROM weather
GROUP BY date
HAVING max(temperature_f) > 85;",True,False,False,False,2.8758,49.3255,77.1,3982.7891,41.6,34.0,4923.875,15360.0,32.0565,2382.6326,5455.43,191.4,3420.94,4546.0,True,True
TinyLlama,spider,body_builder,spider_1179,Easy,How many body builders are there ?,SELECT count(*) FROM body_builder,SELECT COUNT(*) FROM body_builder;,True,True,True,True,2.7926,49.7826,55.1,3982.7891,41.6,42.0,4923.875,15360.0,32.0565,2382.6326,5455.43,191.4,3420.94,4546.0,True,True
TinyLlama,spider,book_2,spider_213,Easy,How many books are there ?,SELECT count(*) FROM book,SELECT COUNT(*) FROM book;,True,True,True,True,2.8531,50.0005,55.6,3983.1406,41.6,45.0,4923.875,15360.0,32.0565,2382.6326,5455.43,191.4,3420.94,4546.0,True,True
TinyLlama,spider,browser_web,spider_1845,Easy,How many main stream browsers whose market share is at least 5 exist ?,SELECT count(*) FROM browser WHERE market_share >= 5,"SELECT COUNT(*) FROM accelerator_compatible_browser WHERE compatible_since_year >= 2015

Output:
5",True,False,False,False,0.8454,50.0873,52.4,3983.1406,41.6,49.0,4923.875,15360.0,32.0565,2382.6326,5455.43,191.4,3420.94,4546.0,True,True
TinyLlama,spider,candidate_poll,spider_2420,Easy,How many candidates are there ?,SELECT count(*) FROM candidate,"Explanation:

- The first rule is to use only tables and columns from the schema.
- The second rule is to output the SQL query (no explanation, no markdown).
- The third rule is to use the `CREATE TABLE` statement to create a new table called `candidate` with columns `Candidate_ID`,",True,False,False,False,2.8138,49.237,77.5,3983.1406,41.6,50.0,4923.875,15360.0,32.0565,2382.6326,5455.43,191.4,3420.94,4546.0,True,True
TinyLlama,spider,car_1,spider_8756,Easy,How many continents are there ?,SELECT count(*) FROM CONTINENTS;,SELECT MIN(Horsepower) FROM cars_data;,True,False,True,False,2.7889,49.8863,54.7,3983.1406,41.6,49.0,4923.875,15360.0,32.0565,2382.6326,5455.43,191.4,3420.94,4546.0,True,True
TinyLlama,spider,chinook_1,spider_834,Easy,How many albums are there ?,SELECT count(*) FROM ALBUM,SELECT COUNT(*) FROM Artist;,True,True,True,False,2.9339,49.9727,53.0,3983.1406,41.6,56.0,4923.875,15360.0,32.0565,2382.6326,5455.43,191.4,3420.94,4546.0,True,True
TinyLlama,spider,cinema,spider_1951,Extra Hard,Show all the locations where no cinema has capacity over 800 .,SELECT LOCATION FROM cinema EXCEPT SELECT LOCATION FROM cinema WHERE capacity > 800,"SELECT Cinema_ID, Name, Openning_year, Capacity, Location
FROM cinema
WHERE Capacity < 800;",True,False,True,False,2.7523,50.0052,53.1,3983.1406,41.6,44.0,4923.875,15360.0,32.0565,2382.6326,5455.43,191.4,3420.94,4546.0,True,True
TinyLlama,spider,city_record,spider_6278,Easy,What is id of the city that hosted events in the most recent year ?,SELECT host_city FROM hosting_city ORDER BY YEAR DESC LIMIT 1,"SELECT City_ID
FROM hosting_city
WHERE Year = (SELECT MAX(Year)
              FROM hosting_city
              WHERE Match_ID = (SELECT MAX(Match_ID)
                               FROM match
                               WHERE Venue = 'Stadium'
                               AND Score = 1
                               AND Result = 'Winner'
                               AND Competition = 'World Cup'
                               AND Year = (SELECT MAX",True,False,False,False,3.4553,48.79,78.2,3983.1406,41.6,54.0,4923.875,15360.0,32.0565,2382.6326,5455.43,191.4,3420.94,4546.0,True,True
TinyLlama,spider,climbing,spider_1139,Easy,How many climbers are there ?,SELECT count(*) FROM climber,SELECT AVG(Age) FROM climber;,True,False,False,False,2.6963,49.8757,52.9,3983.1406,41.6,47.0,4923.875,15360.0,32.0565,2382.6326,5455.43,191.4,3420.94,4546.0,True,True
TinyLlama,spider,club_1,spider_3365,Easy,How many clubs are there ?,SELECT count(*) FROM club,SELECT ClubName FROM Club WHERE COUNT(*) = (SELECT COUNT(*) FROM Member_of_club WHERE Position = 'President');,True,False,False,False,2.951,48.9587,77.9,3983.1406,41.7,47.0,4923.875,15360.0,32.0565,2382.6326,5455.43,191.4,3420.94,4546.0,True,True
TinyLlama,spider,coffee_shop,spider_816,Easy,How many members have the black membership card ?,SELECT count(*) FROM member WHERE Membership_card = 'Black',"SELECT COUNT(*) AS 'Number of members with black membership card'
FROM member
WHERE Membership_card = 'Black';",True,False,True,True,1.3653,49.895,53.6,3983.1406,41.7,44.0,4923.875,15360.0,32.0565,2382.6326,5455.43,191.4,3420.94,4546.0,True,True
TinyLlama,spider,college_1,spider_365,Easy,Find the total number of employees .,SELECT count(*) FROM Employee,SELECT COUNT(*) FROM EMPLOYEE;,True,True,True,True,2.8968,49.7592,53.7,3983.1406,41.6,50.0,4923.875,15360.0,32.0565,2382.6326,5455.43,191.4,3420.94,4546.0,True,True
TinyLlama,spider,college_2,spider_1351,Easy,Find the buildings which have rooms with capacity more than 50 .,SELECT DISTINCT building FROM classroom WHERE capacity > 50,"SELECT building, room_number, COUNT(*) AS num_rooms
FROM classroom
GROUP BY building, room_number
HAVING COUNT(*) > 50;",True,True,True,False,3.2614,49.913,54.5,3983.1406,41.6,65.0,4923.875,15360.0,32.0565,2382.6326,5455.43,191.4,3420.94,4546.0,True,True
TinyLlama,spider,college_3,spider_4674,Easy,How many courses are there in total ?,SELECT count(*) FROM COURSE,SELECT * FROM Enrolled_in WHERE CID = 10;,True,False,True,False,3.2236,49.2184,74.4,3983.1406,41.6,32.0,4923.875,15360.0,32.0565,2382.6326,5455.43,191.4,3420.94,4546.0,True,True
TinyLlama,spider,company_1,spider_2157,Easy,List all department names ordered by their starting date .,SELECT dname FROM department ORDER BY mgr_start_date,"SELECT D.Dname, D.Dnumber, M.Mgr_ssn, M.Mgr_start_date
FROM department D
JOIN manager M ON M.Mgr_ssn = D.Mgr_ssn
ORDER BY D.Dnumber;",True,False,False,False,3.307,49.4926,68.3,3983.1406,41.6,47.0,4923.875,15360.0,32.0565,2382.6326,5455.43,191.4,3420.94,4546.0,True,True
TinyLlama,spider,company_employee,spider_2028,Medium,Show the different headquarters and number of companies at each headquarter .,"SELECT headquarters , count(*) FROM company GROUP BY headquarters","SELECT Company_ID,
       Name,
       Headquarters,
       Industry,
       Sales_in_Billion,
       Profits_in_Billion,
       Assets_in_Billion,
       Market_Value_in_Billion
FROM company
JOIN employment ON Company_ID = Company_ID
WHERE Headquarters = 'New York';",True,False,False,False,2.7633,49.8509,53.4,3983.1406,41.6,53.0,4923.875,15360.0,32.0565,2382.6326,5455.43,191.4,3420.94,4546.0,True,True
TinyLlama,spider,company_office,spider_4578,Easy,How many companies are there ?,SELECT count(*) FROM Companies,SELECT AVG(salary) FROM employees WHERE company_id = (SELECT MAX(company_id) FROM employees);,True,False,False,False,3.7959,48.749,77.7,3983.1406,41.6,49.0,4923.875,15360.0,32.0565,2382.6326,5455.43,191.4,3420.94,4546.0,True,True
TinyLlama,spider,concert_singer,spider_8667,Easy,How many singers do we have ?,SELECT count(*) FROM singer,SELECT AVG(Age) FROM singer_in_concert;,True,False,False,False,2.7168,49.9103,53.0,3983.1406,41.6,47.0,4923.875,15360.0,32.0565,2382.6326,5455.43,191.4,3420.94,4546.0,True,True
TinyLlama,spider,county_public_safety,spider_2558,Easy,How many counties are there ?,SELECT count(*) FROM county_public_safety,SELECT COUNT(*) FROM 'county_public_safety';,True,False,True,True,3.254,49.373,79.4,3983.1406,41.6,30.0,4923.875,15360.0,32.0565,2382.6326,5455.43,191.4,3420.94,4546.0,True,True
TinyLlama,spider,course_teach,spider_9046,Easy,How many teachers are there ?,SELECT count(*) FROM teacher,SELECT COUNT(*) FROM course_arrange;,True,True,True,False,3.1949,49.3295,77.4,3983.1406,41.6,43.0,4923.875,15360.0,32.0565,2382.6326,5455.43,191.4,3420.94,4546.0,True,True
TinyLlama,spider,cre_Doc_Control_Systems,spider_2122,Easy,What document status codes do we have ?,SELECT document_status_code FROM Ref_Document_Status;,"SELECT employee_name
FROM Employees
WHERE role_code = 'Sales Representative';",True,False,True,False,2.8651,49.7942,53.5,3983.1406,41.6,56.0,4923.875,15360.0,32.0565,2382.6326,5455.43,191.4,3420.94,4546.0,True,True
TinyLlama,spider,cre_Doc_Template_Mgt,spider_6411,Easy,How many documents do we have ?,SELECT count(*) FROM Documents,SELECT COUNT(*) FROM Documents;,True,False,True,True,2.8215,50.0225,54.9,3983.1406,41.6,48.0,4923.875,15360.0,32.0565,2382.6326,5455.43,191.4,3420.94,4546.0,True,True
TinyLlama,spider,cre_Doc_Tracking_DB,spider_2131,Easy,How many employees do we have ?,SELECT count(*) FROM Employees;,SELECT Document_Type_Code FROM Ref_Document_Types;,True,False,True,False,3.0183,49.4185,59.5,3983.1406,41.6,38.0,4923.875,15360.0,32.0565,2382.6326,5455.43,191.4,3420.94,4546.0,True,True
TinyLlama,spider,cre_Docs_and_Epenses,spider_6395,Easy,How many accounts do we have ?,SELECT count(*) FROM Accounts,SELECT COUNT(*) FROM Accounts;,True,False,True,True,0.7865,48.4785,98.8,3983.1406,41.6,38.0,4923.875,15360.0,32.0565,2382.6326,5455.43,191.4,3420.94,4546.0,True,True
TinyLlama,spider,cre_Drama_Workshop_Groups,spider_712,Easy,How many customers do we have ?,SELECT count(*) FROM Customers,"Explanation:

In this example, we have a schema with tables and columns for a database. We have also defined a set of rules for the output format.

The first rule is that we output the SQL query (no explanation, no markdown) for each table",True,False,False,False,3.7632,49.2659,68.1,3983.1406,41.6,76.0,4923.875,15360.0,32.0565,2382.6326,5455.43,191.4,3420.94,4546.0,True,True
TinyLlama,spider,cre_Theme_park,spider_5905,Easy,How many available hotels are there in total ?,SELECT count(*) FROM HOTELS,"Explanation:

- The `SELECT COUNT(*) AS Hotel_Count` statement is used to count the number of rows returned by the `Ref_Hotel_Star_Ratings` table.
- The `COUNT` function is used to count the number",True,False,False,False,3.0468,49.6957,65.4,3983.1406,41.6,49.0,4923.875,15360.0,32.0565,2382.6326,5455.43,191.4,3420.94,4546.0,True,True
TinyLlama,spider,csu_1,spider_2350,Easy,Report the name of all campuses in Los Angeles county .,SELECT campus FROM campuses WHERE county = 'Los Angeles',"SELECT Campus
FROM Campuses
WHERE County = 'Los Angeles'

Output:
Campus
--------
Los Angeles

Explanation:
The `ONLY` clause in the `SELECT` statement only selects the columns from the `Campuses` table. The `WHERE` clause filters the results based on the `County` column value. The `GROUP BY` clause groups the results by `Campus` column. The",True,False,False,False,3.2943,49.1067,66.3,3983.1406,41.5,55.0,4923.875,15360.0,32.0565,2382.6326,5455.43,191.4,3420.94,4546.0,True,True
TinyLlama,spider,culture_company,spider_6970,Easy,How many book clubs are there ?,SELECT count(*) FROM book_club,SELECT AVG(budget_million) FROM movie WHERE Year = 2018;,True,False,True,False,2.7848,50.1415,53.1,3983.1406,41.5,48.0,4923.875,15360.0,32.0565,2382.6326,5455.43,191.4,3420.94,4546.0,True,True
TinyLlama,spider,customer_complaints,spider_714,Easy,How many customers are there ?,SELECT count(*) FROM Customers,SELECT AVG(age) FROM Customers;,True,False,False,False,2.8126,48.6177,77.9,3983.1406,41.6,52.0,4923.875,15360.0,32.0565,2382.6326,5455.43,191.4,3420.94,4546.0,True,True
TinyLlama,spider,customer_deliveries,spider_711,Easy,Find the number of customers in total .,SELECT count(*) FROM Customers,"Explanation:

In this example, we have a table called `Customers` that contains information about customers. We're using the `COUNT` function to count the number of rows in this table.

In this example, we have a table called `Regular_Orders",True,False,False,False,2.9909,49.9812,52.9,3983.1406,41.6,67.0,4923.875,15360.0,32.0565,2382.6326,5455.43,191.4,3420.94,4546.0,True,True
TinyLlama,spider,customers_and_addresses,spider_716,Easy,How many customers are there ?,SELECT count(*) FROM Customers,"SELECT AVG(order_value) FROM Customer_Orders WHERE order_date >= DATE_SUB(CURDATE(), INTERVAL 3 MONTH) AND order_date < DATE_SUB(CURDATE(), INTERVAL 2 MONTH);",True,False,False,False,2.8873,49.2306,75.5,3983.1406,41.6,34.0,4923.875,15360.0,32.0565,2382.6326,5455.43,191.4,3420.94,4546.0,True,True
TinyLlama,spider,customers_and_invoices,spider_675,Easy,Show the number of accounts .,SELECT count(*) FROM Accounts,SELECT COUNT(*) AS Accounts FROM Accounts;,True,False,True,True,0.8542,48.7206,70.2,3983.1406,41.6,55.0,4923.875,15360.0,32.0565,2382.6326,5455.43,191.4,3420.94,4546.0,True,True
