model,dataset,db_id,question_id,complexity,question,ground_truth_sql,generated_sql,gt_exec_success,pred_exec_success_pg,pred_exec_success_sqlite,is_correct,generation_time
TinyLlama,geography,geography,geography_0,Extra Hard,what is the biggest city in arizona,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 WHERE CITYalias1.STATE_NAME = ""arizona"" ) AND CITYalias0.STATE_NAME = ""arizona"" ;","SELECT city_name, population, country_name, state_name
FROM city
WHERE state_name = 'Arizona';",True,True,True,False,3.4327
TinyLlama,geography,geography,geography_1,Extra Hard,what texas city has the largest population,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 WHERE CITYalias1.STATE_NAME = ""texas"" ) AND CITYalias0.STATE_NAME = ""texas"" ;","SELECT state_name, population
FROM city
WHERE state_name = 'Texas';",True,True,True,False,3.5346
TinyLlama,geography,geography,geography_2,Extra Hard,what is the largest city in missouri,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 WHERE CITYalias1.STATE_NAME = ""missouri"" ) AND CITYalias0.STATE_NAME = ""missouri"" ;","SELECT city_name, population, country_name, state_name
FROM city
WHERE state_name = 'MO';",True,True,True,False,2.8832
TinyLlama,geography,geography,geography_3,Extra Hard,what is the biggest city in kansas,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 WHERE CITYalias1.STATE_NAME = ""kansas"" ) AND CITYalias0.STATE_NAME = ""kansas"" ;","SELECT city_name, population, country_name, state_name
FROM city
WHERE state_name = 'kansas';",True,True,True,False,2.7825
TinyLlama,geography,geography,geography_4,Extra Hard,what is the biggest city in louisiana,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 WHERE CITYalias1.STATE_NAME = ""louisiana"" ) AND CITYalias0.STATE_NAME = ""louisiana"" ;","SELECT city_name, population, country_name, state_name
FROM city
WHERE state_name = 'louisiana';",True,True,True,False,2.4408
TinyLlama,geography,geography,geography_5,Extra Hard,what is the largest city in california,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 WHERE CITYalias1.STATE_NAME = ""california"" ) AND CITYalias0.STATE_NAME = ""california"" ;","SELECT city_name, population, country_name, state_name
FROM city
WHERE state_name = 'california';",True,True,True,False,4.9267
TinyLlama,geography,geography,geography_6,Extra Hard,what is the largest city in rhode island,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 WHERE CITYalias1.STATE_NAME = ""rhode island"" ) AND CITYalias0.STATE_NAME = ""rhode island"" ;","SELECT city_name, population, country_name, state_name
FROM city
WHERE state_name = 'Rhode Island';",True,True,True,False,4.2287
TinyLlama,geography,geography,geography_7,Extra Hard,where is the most populated area of new mexico,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 WHERE CITYalias1.STATE_NAME = ""new mexico"" ) AND CITYalias0.STATE_NAME = ""new mexico"" ;","SELECT state_name, population, COUNT(*) AS population_count
FROM border_info
GROUP BY state_name
ORDER BY population_count DESC
LIMIT 1;",True,False,False,False,2.1516
TinyLlama,geography,geography,geography_8,Extra Hard,which city in california has the largest population,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 WHERE CITYalias1.STATE_NAME = ""california"" ) AND CITYalias0.STATE_NAME = ""california"" ;","SELECT city_name, population
FROM city
WHERE population > (SELECT MAX(population)
                   FROM city)
ORDER BY population DESC;",True,True,True,False,3.7202
TinyLlama,geography,geography,geography_9,Extra Hard,what is the biggest city in nebraska,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 WHERE CITYalias1.STATE_NAME = ""nebraska"" ) AND CITYalias0.STATE_NAME = ""nebraska"" ;","SELECT city_name, population, country_name, state_name
FROM city
WHERE state_name = 'NE';",True,True,True,False,2.9185
TinyLlama,geography,geography,geography_10,Extra Hard,what is the biggest city in wyoming,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 WHERE CITYalias1.STATE_NAME = ""wyoming"" ) AND CITYalias0.STATE_NAME = ""wyoming"" ;","SELECT city_name, population, country_name, state_name
FROM city
WHERE state_name = 'wyoming'
ORDER BY population DESC;",True,True,True,False,2.803
TinyLlama,geography,geography,geography_11,Extra Hard,what is the largest city in michigan,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 WHERE CITYalias1.STATE_NAME = ""michigan"" ) AND CITYalias0.STATE_NAME = ""michigan"" ;","SELECT city_name, population, country_name, state_name
FROM city
WHERE state_name = 'michigan';",True,True,True,False,2.8806
TinyLlama,geography,geography,geography_12,Extra Hard,what is the largest city in texas,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 WHERE CITYalias1.STATE_NAME = ""texas"" ) AND CITYalias0.STATE_NAME = ""texas"" ;","SELECT TOP 1 city_name
FROM city
ORDER BY population DESC
LIMIT 1;",True,False,False,False,2.0473
TinyLlama,geography,geography,geography_13,Extra Hard,what cities in texas have the highest number of citizens,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 WHERE CITYalias1.STATE_NAME = ""texas"" ) AND CITYalias0.STATE_NAME = ""texas"" ;","SELECT city_name, population, country_name, state_name
FROM city
JOIN highlow ON city_name = highlow.state_name
JOIN lake ON highlow.state_name = lake.state_name
JOIN mountain ON highlow.state_name = mountain.state_name
JOIN river ON highlow.state_name = river.state_name
JOIN state ON highlow.state_name =",True,False,False,False,2.8078
TinyLlama,geography,geography,geography_14,Extra Hard,what cities in texas have the highest populations,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 WHERE CITYalias1.STATE_NAME = ""texas"" ) AND CITYalias0.STATE_NAME = ""texas"" ;","SELECT city_name, population, country_name
FROM city
WHERE population > (SELECT MAX(population) FROM city);",True,True,True,False,2.8224
TinyLlama,geography,geography,geography_15,Extra Hard,what is the most populous city in texas,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 WHERE CITYalias1.STATE_NAME = ""texas"" ) AND CITYalias0.STATE_NAME = ""texas"" ;","SELECT city_name, population, country_name, state_name
FROM city
WHERE population > (SELECT MAX(population)
                   FROM city
                   WHERE state_name = 'texas');",True,True,True,False,3.6567
TinyLlama,geography,geography,geography_16,Extra Hard,what is the largest city in minnesota by population,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 WHERE CITYalias1.STATE_NAME = ""minnesota"" ) AND CITYalias0.STATE_NAME = ""minnesota"" ;","SELECT city_name, population
FROM city
WHERE population > (SELECT MAX(population)
                   FROM city)
ORDER BY population DESC
LIMIT 1;",True,True,True,False,2.8038
TinyLlama,geography,geography,geography_17,Extra Hard,what is the biggest city in texas,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 WHERE CITYalias1.STATE_NAME = ""texas"" ) AND CITYalias0.STATE_NAME = ""texas"" ;","SELECT TOP 1 city_name
FROM city
ORDER BY population DESC
LIMIT 1;",True,False,False,False,1.3638
TinyLlama,geography,geography,geography_18,Extra Hard,what is the largest city in alabama,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 WHERE CITYalias1.STATE_NAME = ""alabama"" ) AND CITYalias0.STATE_NAME = ""alabama"" ;","SELECT city_name, population, country_name, state_name
FROM city
WHERE state_name = 'Alabama';",True,True,True,False,2.8872
