model,dataset,db_id,question_id,complexity,question,ground_truth_sql,generated_sql,gt_exec_success,pred_exec_success_pg,pred_exec_success_sqlite,is_correct,generation_time
Qwen2.5-1.5B,spider,academic,spider_8252,Easy,return me the homepage of PVLDB .,"SELECT homepage FROM journal WHERE name = ""PVLDB"";",SELECT DISTINCT T1.homepage FROM publication AS T1 INNER JOIN cite AS T2 ON T1.pid = T2.cited WHERE T2.citing = 'PVLDB',TRUE,FALSE,FALSE,FALSE,2.8102
Qwen2.5-1.5B,spider,academic,spider_8253,Easy,"return me the homepage of "" H . V . Jagadish "" .","SELECT homepage FROM author WHERE name = ""H. V. Jagadish"";",SELECT homepage FROM author WHERE name = 'H. V. Jagadish',TRUE,FALSE,TRUE,TRUE,1.0161
Qwen2.5-1.5B,spider,academic,spider_8254,Easy,"return me the abstract of "" Making database systems usable "" .","SELECT abstract FROM publication WHERE title = ""Making database systems usable"";",SELECT T1.abstract FROM publication AS T1 INNER JOIN writes AS T2 ON T1.pid = T2.pid WHERE T2.aid = (SELECT aid FROM author WHERE name = 'Making database systems usable'),TRUE,FALSE,TRUE,TRUE,1.846
Qwen2.5-1.5B,spider,academic,spider_8255,Easy,"return me the year of "" Making database systems usable ""","SELECT YEAR FROM publication WHERE title = ""Making database systems usable"";",SELECT DISTINCT T1.year FROM publication AS T1 INNER JOIN writes AS T2 ON T1.pid = T2.pid WHERE T2.title = 'Making database systems usable',TRUE,FALSE,FALSE,FALSE,1.4594
Qwen2.5-1.5B,spider,academic,spider_8257,Easy,return me the papers after 2000 .,SELECT title FROM publication WHERE YEAR > 2000;,"SELECT DISTINCT p.pid, p.title, p.year 
FROM publication p 
JOIN write w ON p.pid = w.pid 
WHERE YEAR(p.year) > 2000;",TRUE,FALSE,FALSE,FALSE,1.677
Qwen2.5-1.5B,spider,academic,spider_8258,Easy,return me the homepage of the VLDB conference .,"SELECT homepage FROM conference WHERE name = ""VLDB"";",SELECT DISTINCT c.homepage FROM conference AS c JOIN domain_conference AS dc ON c.cid = dc.cid WHERE c.name = 'VLDB',TRUE,TRUE,TRUE,TRUE,1.2459
Qwen2.5-1.5B,spider,academic,spider_8259,Easy,return me all the keywords .,SELECT keyword FROM keyword;,SELECT T1.keyword FROM keyword AS T1 INNER JOIN domain_keyword AS T2 ON T1.kid = T2.kid,TRUE,FALSE,TRUE,TRUE,1.3378
Qwen2.5-1.5B,spider,academic,spider_8260,Easy,return me all the organizations .,SELECT name FROM organization;,"SELECT DISTINCT o.name 
FROM organization o;",TRUE,TRUE,TRUE,TRUE,0.7827
Qwen2.5-1.5B,spider,academic,spider_8261,Easy,"return me all the organizations in "" North America "" .","SELECT name FROM organization WHERE continent = ""North America"";","SELECT DISTINCT o.name 
FROM organization o 
JOIN writes w ON o.oid = w.aid 
WHERE o.continent = 'North America';",TRUE,FALSE,TRUE,TRUE,1.8376
Qwen2.5-1.5B,spider,academic,spider_8262,Easy,"return me the homepage of "" University of Michigan "" .","SELECT homepage FROM organization WHERE name = ""University of Michigan"";",SELECT DISTINCT T1.homepage FROM organization AS T1 INNER JOIN writes AS T2 ON T1.oid = T2.aid WHERE T1.name = 'University of Michigan',TRUE,FALSE,TRUE,TRUE,1.5392
