model,dataset,db_id,question_id,complexity,question,ground_truth_sql,generated_sql,gt_exec_success,pred_exec_success_pg,pred_exec_success_sqlite,is_correct,generation_time
TinyLlama,custom,custom,custom_0,Easy,List all products in the Electronics category.,SELECT product_name FROM products WHERE category = 'Electronics',"SELECT product_name, category, price, stock_quantity
FROM products
WHERE category = 'Electronics';",True,True,True,False,4.0161
TinyLlama,custom,custom,custom_1,Easy,What is the price of the product with ID 3?,SELECT price FROM products WHERE product_id = 3,"SELECT product_name, category, price, stock_quantity
FROM products
WHERE product_id = 3;",True,True,True,False,3.0936
TinyLlama,custom,custom,custom_2,Easy,What is the price of the product with ID 10?,SELECT price FROM products WHERE product_id = 10,"SELECT product_name, category, price, stock_quantity
FROM products
WHERE product_id = 10;",True,True,True,False,2.8337
TinyLlama,custom,custom,custom_3,Easy,List all products in the Electronics category.,SELECT product_name FROM products WHERE category = 'Electronics',"SELECT product_name, category, price, stock_quantity
FROM products
WHERE category = 'Electronics';",True,True,True,False,2.8271
TinyLlama,custom,custom,custom_4,Easy,List all products in the Books category.,SELECT product_name FROM products WHERE category = 'Books',"SELECT product_name, category, price, stock_quantity
FROM products
WHERE category = 'Books';",True,True,True,False,3.1082
TinyLlama,custom,custom,custom_5,Easy,List all products in the Electronics category.,SELECT product_name FROM products WHERE category = 'Electronics',"SELECT product_name, category, price, stock_quantity
FROM products
WHERE category = 'Electronics';",True,True,True,False,3.4315
TinyLlama,custom,custom,custom_6,Easy,What is the price of the product with ID 6?,SELECT price FROM products WHERE product_id = 6,"SELECT product_name, category, price, stock_quantity
FROM products
WHERE product_id = 6;",True,True,True,False,2.8342
TinyLlama,custom,custom,custom_7,Easy,What is the price of the product with ID 6?,SELECT price FROM products WHERE product_id = 6,"SELECT product_name, category, price, stock_quantity
FROM products
WHERE product_id = 6;",True,True,True,False,2.8104
TinyLlama,custom,custom,custom_8,Easy,List all products in the Electronics category.,SELECT product_name FROM products WHERE category = 'Electronics',"SELECT product_name, category, price, stock_quantity
FROM products
WHERE category = 'Electronics';",True,True,True,False,2.8126
TinyLlama,custom,custom,custom_9,Easy,How many customers live in Paris?,SELECT count(*) FROM customers WHERE city = 'Paris',SELECT COUNT(*) FROM customers WHERE city = 'Paris';,True,True,True,True,3.8157
TinyLlama,custom,custom,custom_10,Easy,List all products in the Electronics category.,SELECT product_name FROM products WHERE category = 'Electronics',"SELECT product_name, category, price, stock_quantity
FROM products
WHERE category = 'Electronics';",True,True,True,False,2.8132
TinyLlama,custom,custom,custom_11,Easy,List all products in the Clothing category.,SELECT product_name FROM products WHERE category = 'Clothing',SELECT * FROM products WHERE category = 'Clothing';,True,True,True,False,2.8306
TinyLlama,custom,custom,custom_12,Easy,How many customers live in Paris?,SELECT count(*) FROM customers WHERE city = 'Paris',SELECT COUNT(*) FROM customers WHERE city = 'Paris';,True,True,True,True,2.8239
TinyLlama,custom,custom,custom_13,Easy,What is the price of the product with ID 4?,SELECT price FROM products WHERE product_id = 4,"SELECT product_name, category, price, stock_quantity
FROM products
WHERE product_id = 4;",True,True,True,False,3.489
TinyLlama,custom,custom,custom_14,Easy,How many customers live in London?,SELECT count(*) FROM customers WHERE city = 'London',SELECT COUNT(*) FROM customers WHERE city = 'London';,True,True,True,True,3.068
TinyLlama,custom,custom,custom_15,Easy,What is the price of the product with ID 6?,SELECT price FROM products WHERE product_id = 6,"SELECT product_name, category, price, stock_quantity
FROM products
WHERE product_id = 6;",True,True,True,False,2.8201
TinyLlama,custom,custom,custom_16,Easy,What is the price of the product with ID 5?,SELECT price FROM products WHERE product_id = 5,"SELECT product_name, category, price, stock_quantity
FROM products
WHERE product_id = 5;",True,True,True,False,2.8296
TinyLlama,custom,custom,custom_17,Easy,How many customers live in London?,SELECT count(*) FROM customers WHERE city = 'London',SELECT COUNT(*) FROM customers WHERE city = 'London';,True,True,True,True,3.0864
TinyLlama,custom,custom,custom_18,Easy,What is the price of the product with ID 3?,SELECT price FROM products WHERE product_id = 3,"SELECT product_name, category, price, stock_quantity
FROM products
WHERE product_id = 3;",True,True,True,False,3.4235
TinyLlama,custom,custom,custom_19,Easy,How many customers live in Tokyo?,SELECT count(*) FROM customers WHERE city = 'Tokyo',SELECT COUNT(*) FROM customers WHERE city = 'Tokyo';,True,True,True,True,2.8754
TinyLlama,custom,custom,custom_20,Easy,List all products in the Electronics category.,SELECT product_name FROM products WHERE category = 'Electronics',"SELECT product_name, category, price, stock_quantity
FROM products
WHERE category = 'Electronics';",True,True,True,False,2.7911
TinyLlama,custom,custom,custom_21,Easy,What is the price of the product with ID 3?,SELECT price FROM products WHERE product_id = 3,"SELECT product_name, category, price, stock_quantity
FROM products
WHERE product_id = 3;",True,True,True,False,2.8288
TinyLlama,custom,custom,custom_22,Easy,What is the price of the product with ID 6?,SELECT price FROM products WHERE product_id = 6,"SELECT product_name, category, price, stock_quantity
FROM products
WHERE product_id = 6;",True,True,True,False,3.6937
TinyLlama,custom,custom,custom_23,Easy,How many customers live in Tokyo?,SELECT count(*) FROM customers WHERE city = 'Tokyo',SELECT COUNT(*) FROM customers WHERE city = 'Tokyo';,True,True,True,True,2.8309
TinyLlama,custom,custom,custom_24,Easy,List all products in the Clothing category.,SELECT product_name FROM products WHERE category = 'Clothing',SELECT * FROM products WHERE category = 'Clothing';,True,True,True,False,2.821
TinyLlama,custom,custom,custom_25,Medium,List the total revenue generated from each customer city.,"SELECT T2.city, sum(T1.total_amount) FROM orders T1 JOIN customers T2 ON T1.customer_id = T2.customer_id GROUP BY T2.city","SELECT customers.city, SUM(orders.total_amount) AS total_revenue
FROM customers
JOIN orders ON customers.customer_id = orders.customer_id
JOIN order_items ON orders.order_id = order_items.order_id
GROUP BY customers.city;",True,True,True,False,2.8312
TinyLlama,custom,custom,custom_26,Medium,What is the average price of products in each category?,"SELECT category, avg(price) FROM products GROUP BY category","SELECT category, AVG(price) AS avg_price
FROM products
GROUP BY category;",True,True,True,True,3.4699
TinyLlama,custom,custom,custom_27,Medium,List the total revenue generated from each customer city.,"SELECT T2.city, sum(T1.total_amount) FROM orders T1 JOIN customers T2 ON T1.customer_id = T2.customer_id GROUP BY T2.city","SELECT customers.city, SUM(orders.total_amount) AS total_revenue
FROM customers
JOIN orders ON customers.customer_id = orders.customer_id
JOIN order_items ON orders.order_id = order_items.order_id
GROUP BY customers.city;",True,True,True,False,3.0182
TinyLlama,custom,custom,custom_28,Medium,List the total revenue generated from each customer city.,"SELECT T2.city, sum(T1.total_amount) FROM orders T1 JOIN customers T2 ON T1.customer_id = T2.customer_id GROUP BY T2.city","SELECT customers.city, SUM(orders.total_amount) AS total_revenue
FROM customers
JOIN orders ON customers.customer_id = orders.customer_id
JOIN order_items ON orders.order_id = order_items.order_id
GROUP BY customers.city;",True,True,True,False,2.8259
TinyLlama,custom,custom,custom_29,Medium,What is the average price of products in each category?,"SELECT category, avg(price) FROM products GROUP BY category","SELECT category, AVG(price) AS avg_price
FROM products
GROUP BY category;",True,True,True,True,2.8549
TinyLlama,custom,custom,custom_30,Medium,List the total revenue generated from each customer city.,"SELECT T2.city, sum(T1.total_amount) FROM orders T1 JOIN customers T2 ON T1.customer_id = T2.customer_id GROUP BY T2.city","SELECT customers.city, SUM(orders.total_amount) AS total_revenue
FROM customers
JOIN orders ON customers.customer_id = orders.customer_id
JOIN order_items ON orders.order_id = order_items.order_id
GROUP BY customers.city;",True,True,True,False,3.1997
TinyLlama,custom,custom,custom_31,Medium,What is the average price of products in each category?,"SELECT category, avg(price) FROM products GROUP BY category","SELECT category, AVG(price) AS avg_price
FROM products
GROUP BY category;",True,True,True,True,3.3449
