model,dataset,db_id,question_id,complexity,question,ground_truth_sql,generated_sql,gt_exec_success,pred_exec_success_pg,pred_exec_success_sqlite,is_correct,generation_time
Qwen2.5-1.5B,custom,custom,custom_0,Easy,List all products in the Electronics category.,SELECT product_name FROM products WHERE category = 'Electronics',SELECT product_name FROM products WHERE category = 'Electronics',TRUE,TRUE,TRUE,TRUE,0.9955
Qwen2.5-1.5B,custom,custom,custom_1,Easy,What is the price of the product with ID 3?,SELECT price FROM products WHERE product_id = 3,SELECT price FROM products WHERE product_id = 3;,TRUE,TRUE,TRUE,TRUE,0.4797
Qwen2.5-1.5B,custom,custom,custom_2,Easy,What is the price of the product with ID 10?,SELECT price FROM products WHERE product_id = 10,SELECT T2.price FROM products AS T1 JOIN order_items AS T3 ON T1.product_id = T3.product_id WHERE T3.order_id IN (SELECT order_id FROM orders WHERE customer_id IN (SELECT customer_id FROM customers WHERE email = 'example@example.com')) AND T1.product_id = 10,TRUE,FALSE,FALSE,FALSE,2.5467
Qwen2.5-1.5B,custom,custom,custom_3,Easy,List all products in the Electronics category.,SELECT product_name FROM products WHERE category = 'Electronics',SELECT product_name FROM products WHERE category = 'Electronics',TRUE,TRUE,TRUE,TRUE,0.7385
Qwen2.5-1.5B,custom,custom,custom_4,Easy,List all products in the Books category.,SELECT product_name FROM products WHERE category = 'Books',SELECT product_name FROM products WHERE category = 'Books',TRUE,TRUE,TRUE,TRUE,0.5937
Qwen2.5-1.5B,custom,custom,custom_5,Easy,List all products in the Electronics category.,SELECT product_name FROM products WHERE category = 'Electronics',SELECT product_name FROM products WHERE category = 'Electronics',TRUE,TRUE,TRUE,TRUE,0.7005
Qwen2.5-1.5B,custom,custom,custom_6,Easy,What is the price of the product with ID 6?,SELECT price FROM products WHERE product_id = 6,"SELECT T1.price 
FROM products AS T1 
JOIN order_items AS T3 ON T1.product_id = T3.product_id 
WHERE T3.product_id = 6;",TRUE,TRUE,TRUE,FALSE,1.3479
Qwen2.5-1.5B,custom,custom,custom_7,Easy,What is the price of the product with ID 6?,SELECT price FROM products WHERE product_id = 6,"SELECT T1.price 
FROM products AS T1 
JOIN order_items AS T3 ON T1.product_id = T3.product_id 
WHERE T3.product_id = 6;",TRUE,TRUE,TRUE,FALSE,1.3495
Qwen2.5-1.5B,custom,custom,custom_8,Easy,List all products in the Electronics category.,SELECT product_name FROM products WHERE category = 'Electronics',SELECT product_name FROM products WHERE category = 'Electronics',TRUE,TRUE,TRUE,TRUE,0.4981
Qwen2.5-1.5B,custom,custom,custom_9,Easy,How many customers live in Paris?,SELECT count(*) FROM customers WHERE city = 'Paris',SELECT COUNT(DISTINCT T1.customer_id) AS num_customers FROM customers AS T1 JOIN orders AS T2 ON T1.customer_id = T2.customer_id WHERE T1.city = 'Paris',TRUE,TRUE,TRUE,FALSE,1.6614
Qwen2.5-1.5B,custom,custom,custom_10,Easy,List all products in the Electronics category.,SELECT product_name FROM products WHERE category = 'Electronics',SELECT product_name FROM products WHERE category = 'Electronics',TRUE,TRUE,TRUE,TRUE,0.5079
Qwen2.5-1.5B,custom,custom,custom_11,Easy,List all products in the Clothing category.,SELECT product_name FROM products WHERE category = 'Clothing',"SELECT DISTINCT p.product_name 
FROM products p 
JOIN order_items oi ON p.product_id = oi.product_id 
JOIN orders o ON oi.order_id = o.order_id 
JOIN customers c ON o.customer_id = c.customer_id 
WHERE p.category = 'Clothing'",TRUE,TRUE,TRUE,TRUE,2.6043
Qwen2.5-1.5B,custom,custom,custom_12,Easy,How many customers live in Paris?,SELECT count(*) FROM customers WHERE city = 'Paris',SELECT COUNT(DISTINCT T1.customer_id) AS num_customers FROM customers AS T1 JOIN orders AS T2 ON T1.customer_id = T2.customer_id WHERE T1.city = 'Paris',TRUE,TRUE,TRUE,FALSE,2.0705
Qwen2.5-1.5B,custom,custom,custom_13,Easy,What is the price of the product with ID 4?,SELECT price FROM products WHERE product_id = 4,"SELECT T1.price 
FROM products AS T1 
JOIN order_items AS T3 ON T1.product_id = T3.product_id 
WHERE T3.product_id = 4;",TRUE,TRUE,TRUE,FALSE,1.3205
Qwen2.5-1.5B,custom,custom,custom_14,Easy,How many customers live in London?,SELECT count(*) FROM customers WHERE city = 'London',SELECT COUNT(DISTINCT T1.customer_id) AS num_customers FROM customers AS T1 JOIN orders AS T2 ON T1.customer_id = T2.customer_id WHERE T1.city = 'London',TRUE,TRUE,TRUE,FALSE,1.6655
Qwen2.5-1.5B,custom,custom,custom_15,Easy,What is the price of the product with ID 6?,SELECT price FROM products WHERE product_id = 6,"SELECT T1.price 
FROM products AS T1 
JOIN order_items AS T3 ON T1.product_id = T3.product_id 
WHERE T3.product_id = 6;",TRUE,TRUE,TRUE,FALSE,1.3716
Qwen2.5-1.5B,custom,custom,custom_16,Easy,What is the price of the product with ID 5?,SELECT price FROM products WHERE product_id = 5,"SELECT T1.price 
FROM products AS T1 
JOIN order_items AS T3 ON T1.product_id = T3.product_id 
WHERE T3.product_id = 5;",TRUE,TRUE,TRUE,FALSE,1.4273
Qwen2.5-1.5B,custom,custom,custom_17,Easy,How many customers live in London?,SELECT count(*) FROM customers WHERE city = 'London',SELECT COUNT(DISTINCT T1.customer_id) AS num_customers FROM customers AS T1 JOIN orders AS T2 ON T1.customer_id = T2.customer_id WHERE T1.city = 'London',TRUE,TRUE,TRUE,FALSE,2.0236
Qwen2.5-1.5B,custom,custom,custom_18,Easy,What is the price of the product with ID 3?,SELECT price FROM products WHERE product_id = 3,SELECT price FROM products WHERE product_id = 3;,TRUE,TRUE,TRUE,TRUE,0.4548
Qwen2.5-1.5B,custom,custom,custom_19,Easy,How many customers live in Tokyo?,SELECT count(*) FROM customers WHERE city = 'Tokyo',SELECT COUNT(DISTINCT T1.customer_id) AS num_customers FROM customers AS T1 JOIN orders AS T2 ON T1.customer_id = T2.customer_id WHERE T1.city = 'Tokyo',TRUE,TRUE,TRUE,FALSE,1.7103
Qwen2.5-1.5B,custom,custom,custom_20,Easy,List all products in the Electronics category.,SELECT product_name FROM products WHERE category = 'Electronics',SELECT product_name FROM products WHERE category = 'Electronics',TRUE,TRUE,TRUE,TRUE,0.519
