model,dataset,db_id,question_id,complexity,question,ground_truth_sql,generated_sql,gt_exec_success,pred_exec_success_pg,pred_exec_success_sqlite,is_correct,generation_time,cpu_proc_percent,cpu_system_percent,ram_proc_rss_mb,ram_system_percent,gpu_util_percent,gpu_mem_used_mb,gpu_mem_total_mb,gpu_mem_percent,total_runtime_s,peak_ram_rss_mb,peak_cpu_percent_process,peak_gpu_vram_allocated_mb,peak_gpu_vram_reserved_mb,cpu_ram_available,gpu_available
Qwen2.5-1.5B,spider,academic,spider_8252,Easy,return me the homepage of PVLDB .,SELECT homepage FROM journal WHERE name = 'PVLDB';,SELECT DISTINCT T1.homepage FROM publication AS T1 INNER JOIN cite AS T2 ON T1.pid = T2.cited WHERE T2.citing = 'PVLDB',True,False,False,False,1.9537,49.6763,64.2,2372.875,28.7,34.0,3495.875,15360.0,22.7596,1466.1237,3330.2,119.8,3451.13,3884.0,True,True
Qwen2.5-1.5B,spider,activity_1,spider_6723,Easy,How many faculty do we have ?,SELECT count(*) FROM Faculty,SELECT COUNT(DISTINCT FacID) FROM Faculty,True,False,True,True,0.5683,49.2957,99.2,2388.0273,28.8,36.0,3497.875,15360.0,22.7726,1466.1237,3330.2,119.8,3451.13,3884.0,True,True
Qwen2.5-1.5B,spider,aircraft,spider_345,Easy,How many aircrafts are there ?,SELECT count(*) FROM Aircraft,SELECT COUNT(Aircraft_ID) FROM aircraft;,True,False,True,True,0.569,47.6933,99.1,2388.293,28.8,29.0,3497.875,15360.0,22.7726,1466.1237,3330.2,119.8,3451.13,3884.0,True,True
Qwen2.5-1.5B,spider,allergy_1,spider_445,Easy,How many allergies are there ?,SELECT count(DISTINCT allergy) FROM Allergy_type,SELECT COUNT(DISTINCT allergy) AS num_allergies FROM Has_Allergy,True,False,True,False,0.9028,47.8119,99.5,2389.1797,28.9,34.0,3497.875,15360.0,22.7726,1466.1237,3330.2,119.8,3451.13,3884.0,True,True
Qwen2.5-1.5B,spider,apartment_rentals,spider_1223,Easy,How many apartment bookings are there in total ?,SELECT count(*) FROM Apartment_Bookings,SELECT COUNT(apt_booking_id) AS total_bookings FROM Apartment_Bookings;,True,False,True,True,1.0838,46.5387,99.6,2389.4258,28.8,31.0,3497.875,15360.0,22.7726,1466.1237,3330.2,119.8,3451.13,3884.0,True,True
Qwen2.5-1.5B,spider,architecture,spider_6953,Easy,How many architects are female ?,SELECT count(*) FROM architect WHERE gender = 'female',SELECT COUNT(*) FROM architect WHERE gender = 'female',True,True,True,True,0.4816,49.0278,58.0,2389.6055,28.8,46.0,3497.875,15360.0,22.7726,1466.1237,3330.2,119.8,3451.13,3884.0,True,True
Qwen2.5-1.5B,spider,assets_maintenance,spider_3154,Extra Hard,Which assets have 2 parts and have less than 2 fault logs ? List the asset id and detail .,"SELECT T1.asset_id , T1.asset_details FROM Assets AS T1 JOIN Asset_Parts AS T2 ON T1.asset_id = T2.asset_id GROUP BY T1.asset_id HAVING count(*) = 2 INTERSECT SELECT T1.asset_id , T1.asset_details FROM Assets AS T1 JOIN Fault_Log AS T2 ON T1.asset_id = T2.asset_id GROUP BY T1.asset_id HAVING count(*) < 2","SELECT A.asset_id, A.asset_details 
FROM Assets A 
JOIN Asset_Parts AP ON A.maintenance_contract_id = AP.asset_id 
WHERE (SELECT COUNT(DISTINCT PL.fault_log_entry_id) FROM Fault_Log PL WHERE PL.asset_id = A.asset_id) = 2 AND (",True,False,False,False,2.9592,49.2456,81.6,2390.3828,28.9,49.0,3681.875,15360.0,23.9705,1466.1237,3330.2,119.8,3451.13,3884.0,True,True
Qwen2.5-1.5B,spider,baseball_1,spider_3659,Medium,what is the full name and id of the college with the largest number of baseball players ?,"SELECT T1.name_full , T1.college_id FROM college AS T1 JOIN player_college AS T2 ON T1.college_id = T2.college_id GROUP BY T1.college_id ORDER BY count(*) DESC LIMIT 1;","SELECT T2.name_full, T2.college_id FROM college AS T1 INNER JOIN player AS T2 ON T1.college_id = T2.college_id WHERE T2.college_id IN (SELECT T1.college_id FROM college AS T1 INNER JOIN player AS T2 ON T1.college",True,False,False,False,3.1853,48.7878,84.5,2397.6523,29.0,72.0,4281.875,15360.0,27.8768,1466.1237,3330.2,119.8,3451.13,3884.0,True,True
Qwen2.5-1.5B,spider,battle_death,spider_9156,Easy,How many ships ended up being ' Captured ' ?,SELECT count(*) FROM ship WHERE disposition_of_ship = 'Captured',"SELECT COUNT(DISTINCT T2.id) AS captured_ships_count
FROM battle AS T1
JOIN ship AS T2 ON T1.id = T2.lost_in_battle
WHERE T2.disposition_of_ship = 'Captured';",True,True,True,True,2.1796,49.8282,53.3,2397.6602,29.0,47.0,4281.875,15360.0,27.8768,1466.1237,3330.2,119.8,3451.13,3884.0,True,True
Qwen2.5-1.5B,spider,behavior_monitoring,spider_3114,Easy,How many assessment notes are there in total ?,SELECT count(*) FROM ASSESSMENT_NOTES,SELECT COUNT(notes_id) AS total_assessment_notes FROM Assessment_Notes,True,False,True,True,0.7438,49.9116,53.9,2397.6602,29.0,49.0,4281.875,15360.0,27.8768,1466.1237,3330.2,119.8,3451.13,3884.0,True,True
